2007,1,7.7876,7.7502
2007,2,7.7502,7.7369
2007,3,7.7369,7.7247
2007,4,7.7247,7.6773
2007,5,7.6773,7.6333
2007,6,7.6333,7.5757
2007,7,7.5757,7.5734
2007,8,7.5734,7.521
2007,9,7.521,7.5019
2007,10,7.5019,7.421
2007,11,7.421,7.3682
2007,12,7.3682,7.2405
2008,1,7.2405,7.1644
2008,2,7.1644,7.0722
2008,3,7.0722,6.9997
2008,4,6.9997,6.9725
2008,5,6.9725,6.8993
2008,6,6.8993,6.8355
2008,7,6.8355,6.8462
2008,8,6.8462,6.8307
2008,9,6.8307,6.8358
2008,10,6.8358,6.8281
2008,11,6.8281,6.8539
2008,12,6.8539,6.836
2009,1,6.836,6.8363
2009,2,6.8363,6.836
2009,3,6.836,6.8306
2009,4,6.8306,6.8235
2009,5,6.8235,6.8334
2009,6,6.8334,6.8317
2009,7,6.8317,6.8323
2009,8,6.8323,6.8277
2009,9,6.8277,6.8267
2009,10,6.8267,6.8271
2009,11,6.8271,6.8275
2009,12,6.8275,6.8269
2010,1,6.8269,6.8285
2010,2,6.8285,6.8262
2010,3,6.8262,6.8256
2010,4,6.8256,6.8275
2010,5,6.8275,6.8184
2010,6,6.8184,6.7762
2010,7,6.7762,6.7873
2010,8,6.7873,6.7396
2010,9,6.7396,6.6678
2010,10,6.6678,6.6538
2010,11,6.6538,6.6497
2010,12,6.6497,6.5964
2011,1,6.5964,6.5761
2011,2,6.5761,6.5645
2011,3,6.5645,6.5267
2011,4,6.5267,6.4957
2011,5,6.4957,6.4746
2011,6,6.4746,6.4575
2011,7,6.4575,6.4036
2011,8,6.4036,6.3885
2011,9,6.3885,6.371
2011,10,6.371,6.3564
2011,11,6.3564,6.3482
2011,12,6.3482,6.3172
2012,1,6.3172,6.2997
2012,2,6.2997,6.3125
2012,3,6.3125,6.3043
2012,4,6.3043,6.3242
2012,5,6.3242,6.3633
2012,6,6.3633,6.3717
2012,7,6.3717,6.3593
2012,8,6.3593,6.32
2012,9,6.32,6.2627
2012,10,6.2627,6.2338
2012,11,6.2338,6.2328
2012,12,6.2328,6.2215
2013,1,6.2215,6.2323
2013,2,6.2323,6.2154
2013,3,6.2154,6.1861
2013,4,6.1861,6.1416
2013,5,6.1416,6.1342
2013,6,6.1342,6.1343
2013,7,6.1343,6.1213
2013,8,6.1213,6.1198
2013,9,6.1198,6.1032
2013,10,6.1032,6.0929
2013,11,6.0929,6.0738
2013,12,6.0738,6.0509
2014,1,6.0509,6.0816
2014,2,6.0816,6.1729
2014,3,6.1729,6.2246
2014,4,6.2246,6.238
2014,5,6.238,6.2306
2014,6,6.2306,6.1984
2014,7,6.1984,6.1541
2014,8,6.1541,6.1382
2014,9,6.1382,6.1251
2014,10,6.1251,6.1249
2014,11,6.1249,6.1886
2014,12,6.1886,6.2181
2015,1,6.2181,6.2518
2015,2,6.2518,6.2386
2015,3,6.2386,6.201
2015,4,6.201,6.2035
